@relation adult_test.data-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-R15-S1-P0.1

@attribute age numeric
@attribute ' workclass' {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute ' fnlwg' numeric
@attribute ' education' {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute ' education-num' numeric
@attribute ' marital-status' {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute ' occupation' {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute ' relationship' {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute ' race' {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute ' sex' {' Male',' Female'}
@attribute ' capital-gain' numeric
@attribute ' capital-loss' numeric
@attribute ' hours-per-week' numeric
@attribute ' native-country' {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute ' class' {' <=50K',' >50K',suspicious}

@data
33,' Local-gov',190027,' HS-grad',9,' Divorced',' Other-service',' Own-child',' Black',' Female',0,0,40,' United-States',' <=50K'
21,' Private',293726,' HS-grad',9,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,60,' United-States',' <=50K'
27,' Self-emp-not-inc',189030,' Bachelors',13,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
45,' Private',167381,' HS-grad',9,' Divorced',' Sales',' Unmarried',' White',' Female',0,0,32,' United-States',' <=50K'
28,' Private',278736,' Some-college',10,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' Mexico',' <=50K'
24,' Private',131230,' HS-grad',9,' Never-married',' Adm-clerical',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
39,' Private',99783,' HS-grad',9,' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,45,' United-States',' <=50K'
21,' Private',301915,' 11th',7,' Separated',' Sales',' Not-in-family',' Other',' Female',0,0,30,' Mexico',' <=50K'
56,' Private',176613,' Bachelors',13,' Divorced',' Prof-specialty',' Not-in-family',' Asian-Pac-Islander',' Female',0,0,40,' Philippines',' <=50K'
23,' Private',43535,' HS-grad',9,' Divorced',' Other-service',' Not-in-family',' White',' Female',0,0,24,' United-States',' <=50K'
33,' Private',298785,' 9th',5,' Divorced',' Craft-repair',' Not-in-family',' White',' Male',0,0,50,' United-States',' <=50K'
50,' Private',209320,' 10th',6,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,32,' United-States',' <=50K'
23,' Private',113106,' Assoc-acdm',12,' Never-married',' Sales',' Own-child',' White',' Female',0,0,35,' United-States',' <=50K'
23,' Private',203924,' HS-grad',9,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,70,' United-States',' <=50K'
58,' Self-emp-not-inc',426263,' Some-college',10,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,32,' United-States',' <=50K'
24,' Private',160261,' Masters',14,' Never-married',' Prof-specialty',' Not-in-family',' Asian-Pac-Islander',' Male',0,0,20,' France',' <=50K'
22,' Private',38707,' Some-college',10,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,20,' United-States',' <=50K'
28,' Private',198493,' Assoc-acdm',12,' Never-married',' Adm-clerical',' Other-relative',' White',' Male',0,0,35,' United-States',' <=50K'
30,' Private',173858,' HS-grad',9,' Never-married',' Craft-repair',' Not-in-family',' Asian-Pac-Islander',' Male',2597,0,40,' ?',' <=50K'
40,' Private',343068,' Masters',14,' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',0,0,55,' United-States',' <=50K'
38,' State-gov',239539,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' Asian-Pac-Islander',' Male',0,0,40,' Philippines',' <=50K'
22,' Private',126613,' Some-college',10,' Never-married',' Exec-managerial',' Own-child',' White',' Female',0,0,40,' France',' <=50K'
19,' ?',98283,' Some-college',10,' Never-married',' ?',' Own-child',' Asian-Pac-Islander',' Male',0,0,32,' United-States',' <=50K'
23,' Private',117779,' 12th',8,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,45,' United-States',' <=50K'
37,' Federal-gov',110861,' Some-college',10,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
26,' Private',128699,' HS-grad',9,' Married-spouse-absent',' Adm-clerical',' Unmarried',' White',' Female',0,0,40,' Ecuador',' <=50K'
65,' Private',64667,' Some-college',10,' Divorced',' Other-service',' Not-in-family',' Asian-Pac-Islander',' Female',0,0,15,' United-States',' <=50K'
57,' Private',88879,' Some-college',10,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
48,' Self-emp-not-inc',31267,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',3411,0,70,' United-States',' <=50K'
56,' Private',165867,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
42,' Self-emp-not-inc',138162,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
31,' Private',229636,' 1st-4th',2,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,2042,40,' Mexico',' <=50K'
18,' Private',430930,' 11th',7,' Never-married',' Priv-house-serv',' Own-child',' White',' Female',0,0,6,' United-States',' <=50K'
45,' Private',157980,' HS-grad',9,' Divorced',' Adm-clerical',' Unmarried',' White',' Female',0,0,32,' United-States',' <=50K'
45,' Private',123844,' HS-grad',9,' Divorced',' Other-service',' Own-child',' White',' Female',0,0,60,' United-States',' <=50K'
21,' Self-emp-not-inc',190968,' HS-grad',9,' Never-married',' Farming-fishing',' Own-child',' White',' Male',0,0,25,' United-States',' <=50K'
25,' Private',108001,' Some-college',10,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
41,' Private',173981,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,40,' ?',' <=50K'
61,' Private',222966,' 9th',5,' Widowed',' Other-service',' Unmarried',' Black',' Female',0,0,40,' United-States',' <=50K'
20,' Private',336101,' Some-college',10,' Never-married',' Other-service',' Not-in-family',' White',' Female',0,0,30,' United-States',' <=50K'
22,' Private',193027,' HS-grad',9,' Married-spouse-absent',' Sales',' Unmarried',' White',' Female',0,0,30,' United-States',' <=50K'
47,' Private',149218,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,65,' United-States',' <=50K'
29,' Local-gov',152744,' Masters',14,' Never-married',' Prof-specialty',' Other-relative',' Asian-Pac-Islander',' Female',1506,0,40,' United-States',' <=50K'
32,' Private',239662,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' Black',' Male',0,1579,36,' United-States',' <=50K'
20,' Private',214238,' 11th',7,' Never-married',' Sales',' Other-relative',' White',' Female',0,0,32,' Mexico',' <=50K'
50,' Private',137192,' Bachelors',13,' Married-civ-spouse',' Craft-repair',' Husband',' Asian-Pac-Islander',' Male',0,0,20,' Philippines',' <=50K'
42,' Self-emp-not-inc',43909,' Masters',14,' Divorced',' Prof-specialty',' Not-in-family',' White',' Female',0,0,32,' United-States',' <=50K'
25,' Private',233994,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
48,' Private',99127,' Assoc-voc',11,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
39,' State-gov',222530,' Some-college',10,' Never-married',' Prof-specialty',' Not-in-family',' Black',' Female',0,1590,40,' United-States',' <=50K'
34,' Private',298995,' Some-college',10,' Never-married',' Tech-support',' Not-in-family',' Black',' Female',0,0,50,' United-States',' <=50K'
47,' Private',135246,' 11th',7,' Never-married',' Craft-repair',' Unmarried',' White',' Male',0,0,40,' United-States',' <=50K'
27,' Private',189565,' Some-college',10,' Never-married',' Tech-support',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
20,' State-gov',113588,' HS-grad',9,' Never-married',' Tech-support',' Own-child',' White',' Female',0,0,24,' United-States',' <=50K'
23,' Private',198861,' Bachelors',13,' Never-married',' Exec-managerial',' Own-child',' White',' Male',0,1669,40,' United-States',' <=50K'
53,' Self-emp-not-inc',197014,' HS-grad',9,' Never-married',' Craft-repair',' Not-in-family',' White',' Male',0,0,35,' United-States',' <=50K'
35,' Private',141420,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
43,' Self-emp-not-inc',147230,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,60,' United-States',' <=50K'
19,' ?',383715,' Some-college',10,' Never-married',' ?',' Not-in-family',' White',' Female',0,0,25,' United-States',' <=50K'
41,' Private',482677,' 10th',6,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,30,' United-States',' <=50K'
32,' Private',29312,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
36,' Private',141029,' HS-grad',9,' Separated',' Craft-repair',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
30,' Private',433325,' 10th',6,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' Mexico',' <=50K'
38,' Private',43311,' 5th-6th',3,' Married-civ-spouse',' Other-service',' Wife',' White',' Female',0,0,40,' El-Salvador',' <=50K'
68,' Private',174812,' HS-grad',9,' Never-married',' Other-service',' Not-in-family',' White',' Male',0,0,15,' United-States',' <=50K'
68,' Private',357233,' HS-grad',9,' Widowed',' Handlers-cleaners',' Other-relative',' White',' Female',0,0,10,' United-States',' <=50K'
36,' Private',276276,' Some-college',10,' Divorced',' Sales',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
40,' Private',202922,' Some-college',10,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
58,' Private',160101,' HS-grad',9,' Divorced',' Adm-clerical',' Not-in-family',' White',' Male',0,0,55,' United-States',' <=50K'
25,' Private',269004,' Assoc-voc',11,' Never-married',' Craft-repair',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
20,' Private',281608,' Some-college',10,' Never-married',' Sales',' Not-in-family',' White',' Female',0,0,50,' United-States',' <=50K'
47,' Private',269620,' Some-college',10,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' ?',' <=50K'
49,' Private',274200,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,72,' United-States',' <=50K'
25,' Private',147638,' Bachelors',13,' Never-married',' Adm-clerical',' Own-child',' Asian-Pac-Islander',' Female',0,0,40,' India',' <=50K'
33,' Private',295591,' Preschool',1,' Never-married',' Farming-fishing',' Not-in-family',' White',' Male',0,0,40,' Mexico',' <=50K'
41,' Local-gov',113324,' Assoc-acdm',12,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
31,' Private',209529,' 11th',7,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,40,' Puerto-Rico',' <=50K'
38,' Self-emp-inc',63322,' Bachelors',13,' Never-married',' Exec-managerial',' Not-in-family',' White',' Male',0,0,60,' United-States',' <=50K'
38,' Local-gov',131239,' HS-grad',9,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,20,' United-States',' <=50K'
35,' Private',187589,' Assoc-voc',11,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
31,' Private',35985,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
43,' ?',220445,' HS-grad',9,' Widowed',' ?',' Own-child',' Black',' Male',0,0,40,' United-States',' <=50K'
61,' Private',353031,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,60,' United-States',' <=50K'
36,' Private',117802,' Assoc-voc',11,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
38,' Private',341943,' HS-grad',9,' Divorced',' Exec-managerial',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
19,' State-gov',176936,' HS-grad',9,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,30,' United-States',' <=50K'
20,' Private',194228,' Some-college',10,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
77,' ?',153113,' Prof-school',15,' Married-civ-spouse',' ?',' Husband',' White',' Male',1455,0,25,' United-States',' <=50K'
45,' Private',162302,' HS-grad',9,' Divorced',' Exec-managerial',' Unmarried',' White',' Female',0,0,30,' United-States',' <=50K'
24,' Private',192812,' Masters',14,' Never-married',' Prof-specialty',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
64,' ?',232787,' Bachelors',13,' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
22,' Private',269687,' Some-college',10,' Never-married',' Sales',' Own-child',' White',' Male',0,0,35,' United-States',' <=50K'
65,' Private',65757,' HS-grad',9,' Never-married',' Adm-clerical',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
51,' Private',28978,' Some-college',10,' Widowed',' Other-service',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
29,' Private',197222,' Bachelors',13,' Never-married',' Exec-managerial',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
40,' Private',129298,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
34,' Private',181651,' HS-grad',9,' Divorced',' Craft-repair',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
21,' Private',126568,' HS-grad',9,' Never-married',' Adm-clerical',' Other-relative',' White',' Male',0,0,40,' United-States',' <=50K'
31,' Private',289228,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',0,0,35,' United-States',' <=50K'
45,' Private',34307,' Bachelors',13,' Divorced',' Prof-specialty',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
27,' Private',53147,' HS-grad',9,' Never-married',' Craft-repair',' Not-in-family',' Black',' Male',0,0,40,' United-States',' <=50K'
37,' State-gov',318891,' Some-college',10,' Divorced',' Adm-clerical',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
62,' Private',106549,' Assoc-acdm',12,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,40,' United-States',' <=50K'
45,' Private',54260,' HS-grad',9,' Never-married',' Farming-fishing',' Not-in-family',' White',' Male',0,0,60,' United-States',' <=50K'
18,' Private',152508,' 11th',7,' Married-civ-spouse',' Sales',' Wife',' Other',' Female',0,0,20,' United-States',' <=50K'
29,' Private',472344,' 5th-6th',3,' Married-civ-spouse',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,40,' Mexico',' <=50K'
30,' Private',172748,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
17,' Local-gov',161955,' 11th',7,' Never-married',' Adm-clerical',' Own-child',' Amer-Indian-Eskimo',' Female',0,0,30,' United-States',' <=50K'
32,' Local-gov',300687,' Masters',14,' Never-married',' Prof-specialty',' Not-in-family',' Black',' Male',0,0,40,' United-States',' <=50K'
22,' Private',125542,' 11th',7,' Never-married',' Farming-fishing',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
40,' Local-gov',208277,' Bachelors',13,' Divorced',' Prof-specialty',' Unmarried',' White',' Female',0,0,35,' United-States',' <=50K'
55,' Private',72812,' HS-grad',9,' Separated',' Sales',' Not-in-family',' White',' Male',0,0,36,' United-States',' <=50K'
30,' Private',233433,' HS-grad',9,' Never-married',' Sales',' Own-child',' White',' Female',0,0,45,' United-States',' <=50K'
29,' Self-emp-not-inc',37429,' HS-grad',9,' Married-civ-spouse',' Other-service',' Wife',' White',' Female',0,0,30,' United-States',' <=50K'
56,' Private',89698,' HS-grad',9,' Widowed',' Adm-clerical',' Not-in-family',' Black',' Female',0,0,40,' United-States',' <=50K'
43,' Private',580591,' 1st-4th',2,' Married-spouse-absent',' Farming-fishing',' Not-in-family',' White',' Male',0,0,28,' Mexico',' <=50K'
38,' Self-emp-not-inc',177907,' HS-grad',9,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
41,' Private',144925,' Some-college',10,' Divorced',' Craft-repair',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
47,' Self-emp-not-inc',59987,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,2002,42,' United-States',' <=50K'
51,' Private',165953,' HS-grad',9,' Separated',' Handlers-cleaners',' Not-in-family',' Black',' Male',0,0,45,' United-States',' <=50K'
35,' Private',107477,' Some-college',10,' Never-married',' Machine-op-inspct',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
33,' Private',310655,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
25,' Private',301634,' Assoc-acdm',12,' Never-married',' Exec-managerial',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
40,' Private',162098,' HS-grad',9,' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
53,' Private',448862,' HS-grad',9,' Never-married',' Transport-moving',' Unmarried',' Black',' Male',0,0,40,' United-States',' <=50K'
49,' Private',149218,' HS-grad',9,' Divorced',' Craft-repair',' Unmarried',' White',' Male',0,0,50,' United-States',' <=50K'
36,' Private',73023,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,70,' United-States',' <=50K'
19,' Private',134252,' HS-grad',9,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,35,' United-States',' <=50K'
64,' Private',217802,' HS-grad',9,' Widowed',' Craft-repair',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
34,' Private',183557,' HS-grad',9,' Separated',' Adm-clerical',' Not-in-family',' White',' Female',0,0,20,' United-States',' <=50K'
26,' Private',190916,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
22,' Private',324685,' 9th',5,' Never-married',' Sales',' Not-in-family',' White',' Female',0,0,32,' United-States',' <=50K'
38,' Private',275338,' Some-college',10,' Never-married',' Sales',' Own-child',' White',' Female',0,0,45,' United-States',' <=50K'
23,' Private',142766,' Bachelors',13,' Never-married',' Tech-support',' Not-in-family',' White',' Male',0,0,18,' United-States',' <=50K'
35,' Private',102946,' Some-college',10,' Never-married',' Sales',' Not-in-family',' Asian-Pac-Islander',' Female',0,1669,45,' United-States',' <=50K'
37,' ?',33355,' Assoc-acdm',12,' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,30,' United-States',' <=50K'
29,' Private',212895,' Assoc-acdm',12,' Never-married',' Craft-repair',' Not-in-family',' White',' Male',0,0,35,' United-States',' <=50K'
26,' Private',213383,' HS-grad',9,' Never-married',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
19,' Private',39477,' HS-grad',9,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
21,' ?',177144,' Some-college',10,' Never-married',' ?',' Own-child',' Asian-Pac-Islander',' Male',0,0,22,' India',' <=50K'
26,' Private',135521,' Assoc-voc',11,' Never-married',' Handlers-cleaners',' Other-relative',' White',' Male',0,0,28,' United-States',' <=50K'
31,' Private',328118,' Some-college',10,' Never-married',' Other-service',' Not-in-family',' White',' Female',0,0,20,' United-States',' <=50K'
56,' Self-emp-not-inc',285832,' Masters',14,' Married-civ-spouse',' Sales',' Wife',' White',' Female',0,0,70,' United-States',' <=50K'
28,' Private',216178,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
36,' Self-emp-inc',116133,' HS-grad',9,' Never-married',' Exec-managerial',' Own-child',' White',' Male',0,0,41,' United-States',' <=50K'
43,' Self-emp-not-inc',293809,' Prof-school',15,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,20,' United-States',' <=50K'
19,' Private',149823,' Some-college',10,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,20,' United-States',' <=50K'
48,' Private',501671,' HS-grad',9,' Divorced',' Machine-op-inspct',' Not-in-family',' Black',' Male',0,0,48,' United-States',' <=50K'
78,' ?',317311,' HS-grad',9,' Widowed',' ?',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
40,' Federal-gov',39137,' Masters',14,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
20,' ?',211601,' Assoc-voc',11,' Never-married',' ?',' Own-child',' Black',' Female',0,0,15,' United-States',' <=50K'
42,' Private',165309,' HS-grad',9,' Never-married',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,50,' United-States',' <=50K'
47,' Private',175958,' Some-college',10,' Separated',' Other-service',' Not-in-family',' White',' Male',0,0,21,' United-States',' <=50K'
38,' Private',33975,' Bachelors',13,' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
90,' Private',225063,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' Asian-Pac-Islander',' Male',0,0,40,' South',' <=50K'
65,' Private',213149,' HS-grad',9,' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
